takeoff time = 0.1 s
apogee time = 11.8 s
t [s]	acc long [g]	acc lat [g]	event
15.70	  0.70	 -0.20	
15.80	  0.70	 -0.20	
15.90	  0.69	 -0.19	
16.00	  0.69	 -0.18	
16.10	  0.69	 -0.18	
16.20	  0.69	 -0.17	
16.30	  0.69	 -0.16	
16.40	  0.69	 -0.16	
16.50	  0.69	 -0.16	
16.60	  0.68	 -0.15	
16.70	  0.68	 -0.14	
16.80	  0.68	 -0.14	
16.90	  0.68	 -0.13	
17.00	  0.67	 -0.13	
17.10	  0.67	 -0.13	
17.20	  0.67	 -0.12	
17.30	  0.66	 -0.12	
17.40	  0.66	 -0.11	
17.50	  0.66	 -0.11	
17.60	  0.65	 -0.11	
17.70	  0.65	 -0.10	
17.80	  0.65	 -0.10	
17.90	  0.64	 -0.10	
18.00	  0.64	 -0.09	
18.10	  0.63	 -0.09	
18.20	  0.63	 -0.08	
18.30	  0.62	 -0.08	
18.40	  0.62	 -0.08	
18.50	  0.62	 -0.08	
18.60	  0.61	 -0.08	
18.70	  0.61	 -0.07	
18.80	  0.60	 -0.07	
18.90	  0.60	 -0.06	
19.00	  0.60	 -0.06	
19.10	  0.59	 -0.06	
19.20	  0.58	 -0.06	
19.30	  0.58	 -0.06	
19.40	  0.57	 -0.06	
19.50	  0.57	 -0.05	
19.60	  0.56	 -0.05	
19.70	  0.56	 -0.05	
19.80	  0.55	 -0.04	
19.90	  0.55	 -0.04	
20.00	  0.54	 -0.04	
20.10	  0.54	 -0.04	
20.20	  0.54	 -0.03	
20.30	  0.53	 -0.03	
20.40	  0.53	 -0.03	
20.50	  0.52	 -0.03	
20.60	  0.52	 -0.03	
20.70	  0.51	 -0.03	
20.80	  0.51	 -0.03	
20.90	  0.50	 -0.03	
21.00	  0.50	 -0.02	
21.10	  0.49	 -0.02	
21.20	  0.49	 -0.02	
21.30	  0.48	 -0.02	
21.40	  0.48	 -0.02	
21.50	  0.47	 -0.01	
21.60	  0.47	 -0.01	
21.70	  0.46	 -0.01	
21.80	  0.46	 -0.01	
21.90	  0.46	 -0.01	
22.00	  0.45	 -0.01	
22.10	  0.45	 -0.00	
22.20	  0.44	 -0.00	
22.30	  0.44	 -0.00	
22.40	  0.43	 -0.00	
22.50	  0.43	 -0.00	
22.60	  0.42	 -0.00	
22.70	  0.42	  0.00	
22.80	  0.41	  0.00	
22.90	  0.41	  0.00	
23.00	  0.41	  0.00	
23.10	  0.40	  0.00	
23.20	  0.40	  0.00	
23.30	  0.39	  0.01	
23.40	  0.39	  0.01	
23.50	  0.38	  0.01	
23.60	  0.38	  0.01	
23.70	  0.38	  0.01	
23.80	  0.37	  0.01	
23.90	  0.37	  0.01	
24.00	  0.36	  0.01	
24.10	  0.36	  0.02	
24.20	  0.36	  0.02	
24.30	  0.35	  0.02	
24.40	  0.35	  0.02	
24.50	  0.34	  0.02	
24.60	  0.34	  0.02	
24.70	  0.34	  0.02	
24.80	  0.33	  0.02	
24.90	  0.33	  0.03	
25.00	  0.32	  0.03	
25.10	  0.32	  0.03	
25.20	  0.32	  0.03	
25.30	  0.31	  0.03	
25.40	  0.31	  0.03	
25.50	  0.31	  0.03	
25.60	  0.30	  0.03	
25.70	  0.30	  0.03	
25.80	  0.30	  0.03	
25.90	  0.29	  0.03	
26.00	  0.29	  0.03	
26.10	  0.29	  0.03	
