			"Dynamique de la fusée (repère sol)"												"Forces"													"Sous-échantillon 1Hz"				"Accélération longitudinale"	
"pas"	"t"		"acc_x"	"acc_z"	"acc_xz"	"vit_x"	"vit_z"	"vit_xz"	"pos_x"	"pos_z"	"pos_xz"	"Beta"	"BetaD"		"i_P"	"Poussée"	"Débit"	"m"	"Poids"	"R_rampe"	"Rho"	"Trainée"		"Événements"				"Temps"	"x"	"z"		"gravitationnelle"	"non-gravit."
"s"	"s"		"m/s²"	"m/s²"	"m/s²"	"m/s"	"m/s"	"m/s"	"m"	"m"	"m"	"rad"	"°"		"-"	"N"	"kg/s"	"kg"	"N"	"N"	"kg/m3"	"N"						"s"	"m"	"m"		"m/s²"	"m/s²"
0,01	0,38		38,11	197,36	201,00	15,88	86,23	87,68	3,06	16,92	17,19	1,39	79,57		5	169,75	0,08	0,78	7,70	0,00	1,22	4,72		""	""	""		"#N/A"	"#N/A"	17		200,99	210,64
0,01	0,39		37,79	195,41	199,03	16,26	88,19	89,67	3,22	17,79	18,08	1,39	79,55		5	168,25	0,08	0,78	7,69	0,00	1,22	4,94		""	""	""		"#N/A"	"#N/A"	18		199,03	208,67
0,01	0,40		37,47	193,46	197,06	16,63	90,12	91,64	3,38	18,68	18,98	1,39	79,54		5	166,75	0,08	0,78	7,68	0,00	1,22	5,16		""	""	""		"#N/A"	"#N/A"	19		197,05	206,70
0,01	0,41		37,15	191,50	195,07	17,00	92,03	93,59	3,55	19,59	19,91	1,39	79,53		5	165,25	0,08	0,78	7,67	0,00	1,22	5,38		""	""	""		"#N/A"	"#N/A"	20		195,06	204,71
0,01	0,42		36,83	189,53	193,07	17,37	93,93	95,52	3,72	20,52	20,86	1,39	79,52		5	163,75	0,08	0,78	7,66	0,00	1,22	5,60		""	""	""		"#N/A"	"#N/A"	21		193,06	202,71
0,01	0,43		36,50	187,55	191,07	17,74	95,81	97,43	3,90	21,47	21,82	1,39	79,51		5	162,25	0,08	0,78	7,66	0,00	1,22	5,83		""	""	""		"#N/A"	"#N/A"	21		191,06	200,70
0,01	0,44		36,17	185,56	189,05	18,10	97,66	99,32	4,08	22,44	22,80	1,39	79,50		5	160,75	0,08	0,78	7,65	0,00	1,22	6,06		""	""	""		"#N/A"	"#N/A"	22		189,04	198,69
0,01	0,45		35,84	183,57	187,03	18,46	99,50	101,19	4,26	23,42	23,81	1,39	79,49		5	159,25	0,08	0,78	7,64	0,00	1,22	6,29		""	""	""		"#N/A"	"#N/A"	23		187,02	196,67
0,01	0,46		35,50	181,56	185,00	18,81	101,31	103,04	4,45	24,43	24,83	1,39	79,48		5	157,75	0,08	0,78	7,63	0,00	1,22	6,52		""	""	""		"#N/A"	"#N/A"	24		184,99	194,64
0,01	0,47		35,16	179,55	182,96	19,16	103,11	104,87	4,64	25,45	25,87	1,39	79,47		5	156,25	0,08	0,78	7,63	0,00	1,22	6,75		""	""	""		"#N/A"	"#N/A"	25		182,95	192,60
