			"Dynamique de la fusée (repère sol)"												"Forces"													"Sous-échantillon 1Hz"				"Accélération longitudinale"	
"pas"	"t"		"acc_x"	"acc_z"	"acc_xz"	"vit_x"	"vit_z"	"vit_xz"	"pos_x"	"pos_z"	"pos_xz"	"Beta"	"BetaD"		"i_P"	"Poussée"	"Débit"	"m"	"Poids"	"R_rampe"	"Rho"	"Trainée"		"Événements"				"Temps"	"x"	"z"		"gravitationnelle"	"non-gravit."
"s"	"s"		"m/s²"	"m/s²"	"m/s²"	"m/s"	"m/s"	"m/s"	"m"	"m"	"m"	"rad"	"°"		"-"	"N"	"kg/s"	"kg"	"N"	"N"	"kg/m3"	"N"						"s"	"m"	"m"		"m/s²"	"m/s²"
0,01	1,05		-4,17	-31,35	31,62	31,18	161,09	164,08	20,33	107,94	109,84	1,38	79,05		22	0,00	0,00	0,75	7,36	0,00	1,21	16,39		""	""	""		"#N/A"	"#N/A"	108		-31,57	-21,94
0,01	1,06		-4,15	-31,26	31,54	31,14	160,78	163,77	20,64	109,55	111,48	1,38	79,04		22	0,00	0,00	0,75	7,36	0,00	1,21	16,32		""	""	""		"#N/A"	"#N/A"	110		-31,48	-21,85
0,01	1,07		-4,14	-31,17	31,45	31,10	160,47	163,46	20,96	111,15	113,11	1,38	79,03		22	0,00	0,00	0,75	7,36	0,00	1,21	16,26		""	""	""		"#N/A"	"#N/A"	111		-31,39	-21,76
0,01	1,08		-4,12	-31,09	31,36	31,06	160,16	163,14	21,27	112,76	114,75	1,38	79,03		22	0,00	0,00	0,75	7,36	0,00	1,21	16,19		""	""	""		"#N/A"	"#N/A"	113		-31,31	-21,67
0,01	1,09		-4,11	-31,00	31,27	31,02	159,85	162,83	21,58	114,36	116,38	1,38	79,02		22	0,00	0,00	0,75	7,36	0,00	1,21	16,13		""	""	""		"#N/A"	"#N/A"	114		-31,22	-21,59
0,01	1,10		-4,10	-30,92	31,19	30,97	159,54	162,52	21,89	115,95	118,00	1,38	79,01		22	0,00	0,00	0,75	7,36	0,00	1,21	16,06		""	""	""		"#N/A"	"#N/A"	116		-31,13	-21,50
0,01	1,11		-4,08	-30,83	31,10	30,93	159,23	162,21	22,20	117,55	119,63	1,38	79,01		22	0,00	0,00	0,75	7,36	0,00	1,21	16,00		""	""	""		"#N/A"	"#N/A"	118		-31,05	-21,42
0,01	1,12		-4,07	-30,75	31,02	30,89	158,92	161,90	22,51	119,14	121,25	1,38	79,00		22	0,00	0,00	0,75	7,36	0,00	1,21	15,94		""	""	""		"#N/A"	"#N/A"	119		-30,96	-21,33
0,01	1,13		-4,05	-30,67	30,93	30,85	158,62	161,59	22,81	120,73	122,86	1,38	78,99		22	0,00	0,00	0,75	7,36	0,00	1,21	15,87		""	""	""		"#N/A"	"#N/A"	121		-30,88	-21,25
0,01	1,14		-4,04	-30,58	30,85	30,81	158,31	161,28	23,12	122,31	124,48	1,38	78,99		22	0,00	0,00	0,75	7,36	0,00	1,21	15,81		""	""	""		"#N/A"	"#N/A"	122		-30,79	-21,16
0,01	1,15		-4,03	-30,50	30,77	30,77	158,01	160,97	23,43	123,89	126,09	1,38	78,98		22	0,00	0,00	0,75	7,36	0,00	1,21	15,75		""	""	""		"#N/A"	"#N/A"	124		-30,71	-21,08
0,01	1,16		-4,01	-30,42	30,68	30,73	157,70	160,67	23,74	125,47	127,70	1,38	78,97		22	0,00	0,00	0,75	7,36	0,00	1,21	15,68		""	""	""		"#N/A"	"#N/A"	125		-30,62	-21,00
0,01	1,17		-4,00	-30,34	30,60	30,69	157,40	160,36	24,04	127,05	129,30	1,38	78,97		22	0,00	0,00	0,75	7,36	0,00	1,21	15,62		""	""	""		"#N/A"	"#N/A"	127		-30,54	-20,91
0,01	1,18		-3,99	-30,25	30,52	30,65	157,10	160,06	24,35	128,62	130,90	1,38	78,96		22	0,00	0,00	0,75	7,36	0,00	1,21	15,56		""	""	""		"#N/A"	"#N/A"	129		-30,46	-20,83
0,01	1,19		-3,97	-30,17	30,43	30,61	156,79	159,75	24,66	130,19	132,50	1,38	78,95		22	0,00	0,00	0,75	7,36	0,00	1,21	15,50		""	""	""		"#N/A"	"#N/A"	130		-30,38	-20,75
0,01	1,20		-3,96	-30,09	30,35	30,57	156,49	159,45	24,96	131,76	134,10	1,38	78,95		22	0,00	0,00	0,75	7,36	0,00	1,21	15,44		""	""	""		"#N/A"	"#N/A"	132		-30,29	-20,67
0,01	1,21		-3,95	-30,01	30,27	30,53	156,19	159,15	25,27	133,32	135,69	1,38	78,94		22	0,00	0,00	0,75	7,36	0,00	1,21	15,38		""	""	""		"#N/A"	"#N/A"	133		-30,21	-20,58
0,01	1,22		-3,93	-29,93	30,19	30,49	155,89	158,85	25,57	134,88	137,28	1,38	78,93		22	0,00	0,00	0,75	7,36	0,00	1,21	15,32		""	""	""		"#N/A"	"#N/A"	135		-30,13	-20,50
0,01	1,23		-3,92	-29,85	30,11	30,45	155,60	158,55	25,88	136,44	138,87	1,38	78,93		22	0,00	0,00	0,75	7,36	0,00	1,21	15,26		""	""	""		"#N/A"	"#N/A"	136		-30,05	-20,42
0,01	1,24		-3,91	-29,77	30,03	30,42	155,30	158,25	26,18	137,99	140,45	1,38	78,92		22	0,00	0,00	0,75	7,36	0,00	1,21	15,20		""	""	""		"#N/A"	"#N/A"	138		-29,97	-20,34
0,01	1,25		-3,89	-29,69	29,95	30,38	155,00	157,95	26,49	139,54	142,03	1,38	78,91		22	0,00	0,00	0,75	7,36	0,00	1,21	15,14		""	""	""		"#N/A"	"#N/A"	140		-29,89	-20,26
0,01	1,26		-3,88	-29,62	29,87	30,34	154,70	157,65	26,79	141,09	143,61	1,38	78,90		22	0,00	0,00	0,75	7,36	0,00	1,21	15,08		""	""	""		"#N/A"	"#N/A"	141		-29,81	-20,18
0,01	1,27		-3,87	-29,54	29,79	30,30	154,41	157,35	27,09	142,64	145,19	1,38	78,90		22	0,00	0,00	0,75	7,36	0,00	1,21	15,02		""	""	""		"#N/A"	"#N/A"	143		-29,73	-20,10
0,01	1,28		-3,86	-29,46	29,71	30,26	154,11	157,06	27,40	144,18	146,76	1,38	78,89		22	0,00	0,00	0,75	7,36	0,00	1,21	14,96		""	""	""		"#N/A"	"#N/A"	144		-29,65	-20,02
0,01	1,29		-3,84	-29,38	29,63	30,22	153,82	156,76	27,70	145,72	148,33	1,38	78,88		22	0,00	0,00	0,75	7,36	0,00	1,21	14,90		""	""	""		"#N/A"	"#N/A"	146		-29,57	-19,95
0,01	1,30		-3,83	-29,30	29,55	30,18	153,53	156,47	28,00	147,26	149,89	1,38	78,88		22	0,00	0,00	0,75	7,36	0,00	1,21	14,84		""	""	""		"#N/A"	"#N/A"	147		-29,49	-19,87
0,01	1,31		-3,82	-29,23	29,48	30,15	153,24	156,17	28,30	148,79	151,46	1,38	78,87		22	0,00	0,00	0,75	7,36	0,00	1,21	14,78		""	""	""		"#N/A"	"#N/A"	149		-29,42	-19,79
0,01	1,32		-3,81	-29,15	29,40	30,11	152,94	155,88	28,60	150,32	153,02	1,38	78,86		22	0,00	0,00	0,75	7,36	0,00	1,21	14,73		""	""	""		"#N/A"	"#N/A"	150		-29,34	-19,71
0,01	1,33		-3,79	-29,08	29,32	30,07	152,65	155,59	28,91	151,85	154,58	1,38	78,86		22	0,00	0,00	0,75	7,36	0,00	1,21	14,67		""	""	""		"#N/A"	"#N/A"	152		-29,26	-19,64
0,01	1,34		-3,78	-29,00	29,25	30,03	152,36	155,29	29,21	153,37	156,13	1,38	78,85		22	0,00	0,00	0,75	7,36	0,00	1,21	14,61		""	""	""		"#N/A"	"#N/A"	153		-29,18	-19,56
0,01	1,35		-3,77	-28,92	29,17	29,99	152,07	155,00	29,51	154,90	157,68	1,38	78,84		22	0,00	0,00	0,75	7,36	0,00	1,21	14,55		""	""	""		"#N/A"	"#N/A"	155		-29,11	-19,48
0,01	1,36		-3,76	-28,85	29,09	29,96	151,79	154,71	29,81	156,42	159,23	1,38	78,84		22	0,00	0,00	0,75	7,36	0,00	1,21	14,50		""	""	""		"#N/A"	"#N/A"	156		-29,03	-19,41
0,01	1,37		-3,74	-28,77	29,02	29,92	151,50	154,42	30,11	157,93	160,78	1,38	78,83		22	0,00	0,00	0,75	7,36	0,00	1,21	14,44		""	""	""		"#N/A"	"#N/A"	158		-28,96	-19,33
0,01	1,38		-3,73	-28,70	28,94	29,88	151,21	154,14	30,40	159,45	162,32	1,38	78,82		22	0,00	0,00	0,75	7,36	0,00	1,21	14,39		""	""	""		"#N/A"	"#N/A"	159		-28,88	-19,26
0,01	1,39		-3,72	-28,63	28,87	29,84	150,92	153,85	30,70	160,96	163,86	1,38	78,81		22	0,00	0,00	0,75	7,36	0,00	1,21	14,33		""	""	""		"#N/A"	"#N/A"	161		-28,80	-19,18
0,01	1,40		-3,71	-28,55	28,79	29,81	150,64	153,56	31,00	162,46	165,40	1,38	78,81		22	0,00	0,00	0,75	7,36	0,00	1,21	14,27		""	""	""		"#N/A"	"#N/A"	162		-28,73	-19,11
0,01	1,41		-3,69	-28,48	28,72	29,77	150,35	153,27	31,30	163,97	166,93	1,38	78,80		22	0,00	0,00	0,75	7,36	0,00	1,21	14,22		""	""	""		"#N/A"	"#N/A"	164		-28,66	-19,03
0,01	1,42		-3,68	-28,41	28,64	29,73	150,07	152,99	31,60	165,47	168,46	1,38	78,79		22	0,00	0,00	0,75	7,36	0,00	1,20	14,16		""	""	""		"#N/A"	"#N/A"	165		-28,58	-18,96
0,01	1,43		-3,67	-28,33	28,57	29,70	149,79	152,70	31,89	166,97	169,99	1,38	78,79		22	0,00	0,00	0,75	7,36	0,00	1,20	14,11		""	""	""		"#N/A"	"#N/A"	167		-28,51	-18,88
0,01	1,44		-3,66	-28,26	28,50	29,66	149,50	152,42	32,19	168,47	171,51	1,37	78,78		22	0,00	0,00	0,75	7,36	0,00	1,20	14,05		""	""	""		"#N/A"	"#N/A"	168		-28,43	-18,81
0,01	1,45		-3,65	-28,19	28,43	29,62	149,22	152,13	32,49	169,96	173,04	1,37	78,77		22	0,00	0,00	0,75	7,36	0,00	1,20	14,00		""	""	""		"#N/A"	"#N/A"	170		-28,36	-18,74
0,01	1,46		-3,63	-28,12	28,35	29,59	148,94	151,85	32,78	171,45	174,56	1,37	78,76		22	0,00	0,00	0,75	7,36	0,00	1,20	13,95		""	""	""		"#N/A"	"#N/A"	171		-28,29	-18,67
0,01	1,47		-3,62	-28,05	28,28	29,55	148,66	151,57	33,08	172,94	176,07	1,37	78,76		22	0,00	0,00	0,75	7,36	0,00	1,20	13,89		""	""	""		"#N/A"	"#N/A"	173		-28,22	-18,59
0,01	1,48		-3,61	-27,98	28,21	29,52	148,38	151,29	33,37	174,42	177,59	1,37	78,75		22	0,00	0,00	0,75	7,36	0,00	1,20	13,84		""	""	""		"#N/A"	"#N/A"	174		-28,14	-18,52
0,01	1,49		-3,60	-27,91	28,14	29,48	148,10	151,01	33,67	175,91	179,10	1,37	78,74		22	0,00	0,00	0,75	7,36	0,00	1,20	13,78		""	""	""		"#N/A"	"#N/A"	176		-28,07	-18,45
0,01	1,50		-3,59	-27,84	28,07	29,44	147,82	150,73	33,96	177,39	180,61	1,37	78,74		22	0,00	0,00	0,75	7,36	0,00	1,20	13,73		""	""	""		"#N/A"	"#N/A"	177		-28,00	-18,38
0,01	1,51		-3,58	-27,77	28,00	29,41	147,55	150,45	34,26	178,86	182,11	1,37	78,73		22	0,00	0,00	0,75	7,36	0,00	1,20	13,68		""	""	""		"#N/A"	"#N/A"	179		-27,93	-18,31
0,01	1,52		-3,57	-27,70	27,93	29,37	147,27	150,17	34,55	180,34	183,62	1,37	78,72		22	0,00	0,00	0,75	7,36	0,00	1,20	13,63		""	""	""		"#N/A"	"#N/A"	180		-27,86	-18,24
0,01	1,53		-3,55	-27,63	27,86	29,34	146,99	149,89	34,85	181,81	185,12	1,37	78,71		22	0,00	0,00	0,75	7,36	0,00	1,20	13,57		""	""	""		"#N/A"	"#N/A"	182		-27,79	-18,17
0,01	1,54		-3,54	-27,56	27,79	29,30	146,72	149,61	35,14	183,28	186,62	1,37	78,71		22	0,00	0,00	0,75	7,36	0,00	1,20	13,52		""	""	""		"#N/A"	"#N/A"	183		-27,72	-18,10
0,01	1,55		-3,53	-27,49	27,72	29,27	146,44	149,34	35,43	184,74	188,11	1,37	78,70		22	0,00	0,00	0,75	7,36	0,00	1,20	13,47		""	""	""		"#N/A"	"#N/A"	185		-27,65	-18,03
0,01	1,56		-3,52	-27,42	27,65	29,23	146,17	149,06	35,72	186,21	189,60	1,37	78,69		22	0,00	0,00	0,75	7,36	0,00	1,20	13,42		""	""	""		"#N/A"	"#N/A"	186		-27,58	-17,96
0,01	1,57		-3,51	-27,35	27,58	29,20	145,89	148,79	36,02	187,67	191,09	1,37	78,68		22	0,00	0,00	0,75	7,36	0,00	1,20	13,37		""	""	""		"#N/A"	"#N/A"	188		-27,51	-17,89
0,01	1,58		-3,50	-27,29	27,51	29,16	145,62	148,51	36,31	189,12	192,58	1,37	78,68		22	0,00	0,00	0,75	7,36	0,00	1,20	13,32		""	""	""		"#N/A"	"#N/A"	189		-27,44	-17,82
0,01	1,59		-3,49	-27,22	27,44	29,13	145,35	148,24	36,60	190,58	194,06	1,37	78,67		22	0,00	0,00	0,75	7,36	0,00	1,20	13,26		""	""	""		"#N/A"	"#N/A"	191		-27,37	-17,75
0,01	1,60		-3,47	-27,15	27,37	29,09	145,08	147,97	36,89	192,03	195,54	1,37	78,66		22	0,00	0,00	0,75	7,36	0,00	1,20	13,21		""	""	""		"#N/A"	"#N/A"	192		-27,30	-17,69
0,01	1,61		-3,46	-27,08	27,31	29,06	144,81	147,69	37,18	193,48	197,02	1,37	78,65		22	0,00	0,00	0,75	7,36	0,00	1,20	13,16		""	""	""		"#N/A"	"#N/A"	193		-27,24	-17,62
0,01	1,62		-3,45	-27,02	27,24	29,02	144,54	147,42	37,47	194,93	198,50	1,37	78,65		22	0,00	0,00	0,75	7,36	0,00	1,20	13,11		""	""	""		"#N/A"	"#N/A"	195		-27,17	-17,55
0,01	1,63		-3,44	-26,95	27,17	28,99	144,27	147,15	37,76	196,37	199,97	1,37	78,64		22	0,00	0,00	0,75	7,36	0,00	1,20	13,06		""	""	""		"#N/A"	"#N/A"	196		-27,10	-17,48
0,01	1,64		-3,43	-26,89	27,10	28,95	144,00	146,88	38,05	197,81	201,44	1,37	78,63		22	0,00	0,00	0,75	7,36	0,00	1,20	13,01		""	""	""		"#N/A"	"#N/A"	198		-27,04	-17,42
0,01	1,65		-3,42	-26,82	27,04	28,92	143,73	146,61	38,34	199,25	202,91	1,37	78,62		22	0,00	0,00	0,75	7,36	0,00	1,20	12,96		""	""	""		"#N/A"	"#N/A"	199		-26,97	-17,35
0,01	1,66		-3,41	-26,76	26,97	28,89	143,46	146,34	38,63	200,69	204,37	1,37	78,62		22	0,00	0,00	0,75	7,36	0,00	1,20	12,91		""	""	""		"#N/A"	"#N/A"	201		-26,90	-17,28
0,01	1,67		-3,40	-26,69	26,91	28,85	143,20	146,07	38,92	202,12	205,83	1,37	78,61		22	0,00	0,00	0,75	7,36	0,00	1,20	12,86		""	""	""		"#N/A"	"#N/A"	202		-26,84	-17,22
0,01	1,68		-3,39	-26,63	26,84	28,82	142,93	145,81	39,21	203,55	207,29	1,37	78,60		22	0,00	0,00	0,75	7,36	0,00	1,20	12,82		""	""	""		"#N/A"	"#N/A"	204		-26,77	-17,15
0,01	1,69		-3,38	-26,56	26,77	28,78	142,66	145,54	39,49	204,98	208,75	1,37	78,59		22	0,00	0,00	0,75	7,36	0,00	1,20	12,77		""	""	""		"#N/A"	"#N/A"	205		-26,70	-17,09
0,01	1,70		-3,37	-26,50	26,71	28,75	142,40	145,27	39,78	206,40	210,20	1,37	78,59		22	0,00	0,00	0,75	7,36	0,00	1,20	12,72		""	""	""		"#N/A"	"#N/A"	206		-26,64	-17,02
0,01	1,71		-3,36	-26,43	26,65	28,72	142,13	145,01	40,07	207,83	211,65	1,37	78,58		22	0,00	0,00	0,75	7,36	0,00	1,20	12,67		""	""	""		"#N/A"	"#N/A"	208		-26,57	-16,96
0,01	1,72		-3,35	-26,37	26,58	28,68	141,87	144,74	40,36	209,25	213,10	1,37	78,57		22	0,00	0,00	0,75	7,36	0,00	1,20	12,62		""	""	""		"#N/A"	"#N/A"	209		-26,51	-16,89
0,01	1,73		-3,34	-26,31	26,52	28,65	141,61	144,48	40,64	210,66	214,55	1,37	78,56		22	0,00	0,00	0,75	7,36	0,00	1,20	12,57		""	""	""		"#N/A"	"#N/A"	211		-26,45	-16,83
0,01	1,74		-3,32	-26,24	26,45	28,62	141,35	144,21	40,93	212,08	215,99	1,37	78,55		22	0,00	0,00	0,75	7,36	0,00	1,20	12,53		""	""	""		"#N/A"	"#N/A"	212		-26,38	-16,77
0,01	1,75		-3,31	-26,18	26,39	28,58	141,08	143,95	41,22	213,49	217,43	1,37	78,55		22	0,00	0,00	0,75	7,36	0,00	1,20	12,48		""	""	""		"#N/A"	"#N/A"	213		-26,32	-16,70
0,01	1,76		-3,30	-26,12	26,33	28,55	140,82	143,69	41,50	214,90	218,87	1,37	78,54		22	0,00	0,00	0,75	7,36	0,00	1,20	12,43		""	""	""		"#N/A"	"#N/A"	215		-26,25	-16,64
0,01	1,77		-3,29	-26,06	26,26	28,52	140,56	143,43	41,79	216,31	220,31	1,37	78,53		22	0,00	0,00	0,75	7,36	0,00	1,20	12,39		""	""	""		"#N/A"	"#N/A"	216		-26,19	-16,58
0,01	1,78		-3,28	-25,99	26,20	28,48	140,30	143,16	42,07	217,71	221,74	1,37	78,52		22	0,00	0,00	0,75	7,36	0,00	1,20	12,34		""	""	""		"#N/A"	"#N/A"	218		-26,13	-16,51
0,01	1,79		-3,27	-25,93	26,14	28,45	140,04	142,90	42,36	219,11	223,17	1,37	78,52		22	0,00	0,00	0,75	7,36	0,00	1,20	12,29		""	""	""		"#N/A"	"#N/A"	219		-26,07	-16,45
0,01	1,80		-3,26	-25,87	26,08	28,42	139,78	142,64	42,64	220,51	224,60	1,37	78,51		22	0,00	0,00	0,75	7,36	0,00	1,20	12,25		""	""	""		"#N/A"	"#N/A"	221		-26,00	-16,39
0,01	1,81		-3,25	-25,81	26,01	28,39	139,53	142,38	42,92	221,91	226,02	1,37	78,50		22	0,00	0,00	0,75	7,36	0,00	1,20	12,20		""	""	""		"#N/A"	"#N/A"	222		-25,94	-16,33
0,01	1,82		-3,24	-25,75	25,95	28,35	139,27	142,13	43,21	223,30	227,45	1,37	78,49		22	0,00	0,00	0,75	7,36	0,00	1,20	12,15		""	""	""		"#N/A"	"#N/A"	223		-25,88	-16,27
0,01	1,83		-3,23	-25,69	25,89	28,32	139,01	141,87	43,49	224,69	228,86	1,37	78,48		22	0,00	0,00	0,75	7,36	0,00	1,20	12,11		""	""	""		"#N/A"	"#N/A"	225		-25,82	-16,20
0,01	1,84		-3,22	-25,63	25,83	28,29	138,76	141,61	43,77	226,08	230,28	1,37	78,48		22	0,00	0,00	0,75	7,36	0,00	1,20	12,06		""	""	""		"#N/A"	"#N/A"	226		-25,76	-16,14
0,01	1,85		-3,21	-25,57	25,77	28,26	138,50	141,35	44,06	227,47	231,70	1,37	78,47		22	0,00	0,00	0,75	7,36	0,00	1,20	12,02		""	""	""		"#N/A"	"#N/A"	227		-25,69	-16,08
0,01	1,86		-3,20	-25,51	25,71	28,23	138,24	141,10	44,34	228,85	233,11	1,37	78,46		22	0,00	0,00	0,75	7,36	0,00	1,20	11,97		""	""	""		"#N/A"	"#N/A"	229		-25,63	-16,02
0,01	1,87		-3,19	-25,45	25,65	28,19	137,99	140,84	44,62	230,23	234,52	1,37	78,45		22	0,00	0,00	0,75	7,36	0,00	1,20	11,93		""	""	""		"#N/A"	"#N/A"	230		-25,57	-15,96
0,01	1,88		-3,18	-25,39	25,59	28,16	137,74	140,59	44,90	231,61	235,93	1,37	78,44		22	0,00	0,00	0,75	7,36	0,00	1,20	11,88		""	""	""		"#N/A"	"#N/A"	232		-25,51	-15,90
0,01	1,89		-3,17	-25,33	25,53	28,13	137,48	140,33	45,19	232,99	237,33	1,37	78,44		22	0,00	0,00	0,75	7,36	0,00	1,20	11,84		""	""	""		"#N/A"	"#N/A"	233		-25,45	-15,84
0,01	1,90		-3,16	-25,27	25,47	28,10	137,23	140,08	45,47	234,36	238,73	1,37	78,43		22	0,00	0,00	0,75	7,36	0,00	1,20	11,79		""	""	""		"#N/A"	"#N/A"	234		-25,39	-15,78
0,01	1,91		-3,15	-25,21	25,41	28,07	136,98	139,82	45,75	235,73	240,13	1,37	78,42		22	0,00	0,00	0,75	7,36	0,00	1,20	11,75		""	""	""		"#N/A"	"#N/A"	236		-25,33	-15,72
0,01	1,92		-3,14	-25,16	25,35	28,04	136,73	139,57	46,03	237,10	241,53	1,37	78,41		22	0,00	0,00	0,75	7,36	0,00	1,20	11,70		""	""	""		"#N/A"	"#N/A"	237		-25,27	-15,66
0,01	1,93		-3,13	-25,10	25,29	28,00	136,48	139,32	46,31	238,47	242,92	1,37	78,40		22	0,00	0,00	0,75	7,36	0,00	1,20	11,66		""	""	""		"#N/A"	"#N/A"	238		-25,22	-15,61
0,01	1,94		-3,13	-25,04	25,23	27,97	136,22	139,07	46,59	239,83	244,31	1,37	78,40		22	0,00	0,00	0,75	7,36	0,00	1,20	11,62		""	""	""		"#N/A"	"#N/A"	240		-25,16	-15,55
0,01	1,95		-3,12	-24,98	25,18	27,94	135,98	138,82	46,87	241,19	245,70	1,37	78,39		22	0,00	0,00	0,75	7,36	0,00	1,20	11,57		""	""	""		"#N/A"	"#N/A"	241		-25,10	-15,49
0,01	1,96		-3,11	-24,93	25,12	27,91	135,73	138,57	47,15	242,55	247,09	1,37	78,38		22	0,00	0,00	0,75	7,36	0,00	1,20	11,53		""	""	""		"#N/A"	"#N/A"	243		-25,04	-15,43
0,01	1,97		-3,10	-24,87	25,06	27,88	135,48	138,32	47,43	243,91	248,48	1,37	78,37		22	0,00	0,00	0,75	7,36	0,00	1,20	11,49		""	""	""		"#N/A"	"#N/A"	244		-24,98	-15,37
0,01	1,98		-3,09	-24,81	25,00	27,85	135,23	138,07	47,70	245,26	249,86	1,37	78,36		22	0,00	0,00	0,75	7,36	0,00	1,20	11,44		""	""	""		"#N/A"	"#N/A"	245		-24,92	-15,32
0,01	1,99		-3,08	-24,75	24,95	27,82	134,98	137,82	47,98	246,61	251,24	1,37	78,36		22	0,00	0,00	0,75	7,36	0,00	1,20	11,40		""	""	""		"#N/A"	"#N/A"	247		-24,87	-15,26
0,01	2,00		-3,07	-24,70	24,89	27,79	134,73	137,57	48,26	247,96	252,61	1,37	78,35		22	0,00	0,00	0,75	7,36	0,00	1,19	11,36		""	""	""		2	48	248		-24,81	-15,20
0,10	2,10		-3,06	-24,64	24,83	27,48	132,27	135,09	51,02	261,31	266,25	1,37	78,26		23	0,00	0,00	0,75	7,36	0,00	1,19	10,94		""	""	""		"#N/A"	"#N/A"	261		-24,75	-15,14
0,10	2,20		-2,97	-24,09	24,27	27,18	129,86	132,68	53,76	274,42	279,63	1,36	78,18		23	0,00	0,00	0,75	7,36	0,00	1,19	10,54		""	""	""		"#N/A"	"#N/A"	274		-24,19	-14,59
0,10	2,30		-2,88	-23,56	23,74	26,90	127,51	130,31	56,46	287,29	292,78	1,36	78,09		23	0,00	0,00	0,75	7,36	0,00	1,19	10,15		""	""	""		"#N/A"	"#N/A"	287		-23,65	-14,05
0,10	2,40		-2,79	-23,05	23,22	26,62	125,20	128,00	59,14	299,92	305,70	1,36	78,00		23	0,00	0,00	0,75	7,36	0,00	1,19	9,78		""	""	""		"#N/A"	"#N/A"	300		-23,13	-13,54
0,10	2,50		-2,71	-22,57	22,73	26,35	122,94	125,73	61,78	312,33	318,38	1,36	77,90		23	0,00	0,00	0,75	7,36	0,00	1,19	9,43		""	""	""		"#N/A"	"#N/A"	312		-22,64	-13,04
0,10	2,60		-2,63	-22,10	22,26	26,08	120,73	123,52	64,41	324,51	330,84	1,36	77,81		23	0,00	0,00	0,75	7,36	0,00	1,19	9,09		""	""	""		"#N/A"	"#N/A"	325		-22,16	-12,57
0,10	2,70		-2,56	-21,65	21,80	25,83	118,57	121,35	67,00	336,48	343,08	1,36	77,71		23	0,00	0,00	0,75	7,36	0,00	1,18	8,76		""	""	""		"#N/A"	"#N/A"	336		-21,70	-12,12
0,10	2,80		-2,49	-21,22	21,37	25,58	116,45	119,22	69,57	348,23	355,11	1,35	77,61		23	0,00	0,00	0,75	7,36	0,00	1,18	8,45		""	""	""		"#N/A"	"#N/A"	348		-21,27	-11,68
0,10	2,90		-2,42	-20,81	20,95	25,34	114,36	117,14	72,12	359,77	366,93	1,35	77,51		23	0,00	0,00	0,75	7,36	0,00	1,18	8,14		""	""	""		"#N/A"	"#N/A"	360		-20,84	-11,26
0,10	3,00		-2,35	-20,41	20,55	25,10	112,32	115,09	74,64	371,10	378,53	1,35	77,40		23	0,00	0,00	0,75	7,36	0,00	1,18	7,85		""	""	""		3	75	371		-20,44	-10,86
0,10	3,10		-2,28	-20,03	20,16	24,87	110,32	113,09	77,14	382,23	389,94	1,35	77,29		23	0,00	0,00	0,75	7,36	0,00	1,18	7,57		""	""	""		"#N/A"	"#N/A"	382		-20,04	-10,47
0,10	3,20		-2,22	-19,66	19,79	24,65	108,35	111,12	79,61	393,17	401,15	1,35	77,18		23	0,00	0,00	0,75	7,36	0,00	1,18	7,30		""	""	""		"#N/A"	"#N/A"	393		-19,67	-10,10
0,10	3,30		-2,16	-19,31	19,43	24,44	106,42	109,19	82,07	403,91	412,16	1,35	77,07		23	0,00	0,00	0,75	7,36	0,00	1,18	7,05		""	""	""		"#N/A"	"#N/A"	404		-19,30	-9,74
0,10	3,40		-2,10	-18,97	19,08	24,22	104,53	107,30	84,50	414,45	422,98	1,34	76,95		23	0,00	0,00	0,75	7,36	0,00	1,18	6,80		""	""	""		"#N/A"	"#N/A"	414		-18,95	-9,39
0,10	3,50		-2,05	-18,64	18,75	24,02	102,66	105,44	86,91	424,81	433,61	1,34	76,83		23	0,00	0,00	0,75	7,36	0,00	1,17	6,55		""	""	"Satellite"		"#N/A"	"#N/A"	425		-18,62	-9,06
0,10	3,60		-1,99	-18,32	18,43	23,82	100,83	103,61	89,31	434,99	444,06	1,34	76,71		23	0,00	0,00	0,75	7,36	0,00	1,17	6,32		""	""	""		"#N/A"	"#N/A"	435		-18,29	-8,74
0,10	3,70		-1,94	-18,01	18,12	23,63	99,03	101,81	91,68	444,98	454,33	1,34	76,58		23	0,00	0,00	0,75	7,36	0,00	1,17	6,10		""	""	""		"#N/A"	"#N/A"	445		-17,98	-8,43
0,10	3,80		-1,89	-17,72	17,82	23,44	97,26	100,04	94,03	454,80	464,42	1,33	76,45		23	0,00	0,00	0,75	7,36	0,00	1,17	5,88		""	""	""		"#N/A"	"#N/A"	455		-17,67	-8,13
0,10	3,90		-1,84	-17,44	17,53	23,25	95,51	98,30	96,37	464,44	474,33	1,33	76,32		23	0,00	0,00	0,75	7,36	0,00	1,17	5,68		""	""	""		"#N/A"	"#N/A"	464		-17,38	-7,85
0,10	4,00		-1,79	-17,16	17,26	23,08	93,80	96,59	98,68	473,90	484,07	1,33	76,18		23	0,00	0,00	0,75	7,36	0,00	1,17	5,47		""	""	""		4	99	474		-17,10	-7,57
0,10	4,10		-1,74	-16,90	16,99	22,90	92,11	94,91	100,98	483,20	493,64	1,33	76,04		23	0,00	0,00	0,75	7,36	0,00	1,17	5,28		""	""	""		"#N/A"	"#N/A"	483		-16,83	-7,30
