takeoff time = 0.1 s
apogee time = 11.8 s
t [s]	acc long [g]	acc lat [g]	event
15.60	  0.71	 -0.23	
15.70	  0.71	 -0.23	
15.80	  0.71	 -0.23	
15.90	  0.68	 -0.18	
16.00	  0.70	 -0.17	
16.10	  0.70	 -0.17	
16.20	  0.69	 -0.20	
16.30	  0.68	 -0.19	
16.40	  0.69	 -0.16	
16.50	  0.66	 -0.19	
16.60	  0.70	 -0.14	
16.70	  0.67	 -0.15	
16.80	  0.68	 -0.15	
16.90	  0.66	 -0.15	
17.00	  0.65	 -0.16	
17.10	  0.67	 -0.14	
17.20	  0.66	 -0.15	
17.30	  0.64	 -0.15	
17.40	  0.63	 -0.14	
17.50	  0.66	 -0.12	
17.60	  0.64	 -0.11	
17.70	  0.63	 -0.13	
17.80	  0.64	 -0.11	
17.90	  0.64	 -0.11	
18.00	  0.64	 -0.09	
18.10	  0.61	 -0.10	
18.20	  0.62	 -0.11	
18.30	  0.61	 -0.09	
18.40	  0.63	 -0.07	
18.50	  0.60	 -0.08	
18.60	  0.58	 -0.11	
18.70	  0.60	 -0.06	
18.80	  0.58	 -0.07	
18.90	  0.61	 -0.08	
19.00	  0.60	 -0.05	
19.10	  0.57	 -0.06	
19.20	  0.58	 -0.06	
19.30	  0.58	 -0.05	
19.40	  0.58	 -0.06	
19.50	  0.54	 -0.07	
19.60	  0.54	 -0.05	
19.70	  0.56	 -0.08	
19.80	  0.55	 -0.04	
19.90	  0.53	 -0.05	
20.00	  0.52	 -0.04	
20.10	  0.51	 -0.03	
20.20	  0.54	 -0.04	
20.30	  0.51	 -0.02	
20.40	  0.54	 -0.06	
20.50	  0.52	 -0.03	
20.60	  0.52	 -0.03	
20.70	  0.50	 -0.01	
20.80	  0.52	 -0.04	
20.90	  0.51	 -0.04	
21.00	  0.47	 -0.04	
21.10	  0.46	 -0.01	
21.20	  0.50	 -0.05	
21.30	  0.48	 -0.03	
21.40	  0.45	 -0.04	
21.50	  0.45	 -0.01	
21.60	  0.43	 -0.04	
21.70	  0.45	 -0.05	
21.80	  0.46	 -0.02	
21.90	  0.46	 -0.04	
22.00	  0.43	 -0.02	
22.10	  0.42	 -0.01	
22.20	  0.42	 -0.00	
22.30	  0.44	  0.00	
22.40	  0.45	 -0.01	
22.50	  0.42	  0.00	
22.60	  0.43	 -0.01	
22.70	  0.40	 -0.02	
22.80	  0.38	  0.01	
22.90	  0.38	  0.01	
23.00	  0.40	  0.02	
23.10	  0.40	  0.02	
23.20	  0.37	 -0.01	
23.30	  0.39	 -0.01	
23.40	  0.38	 -0.01	
23.50	  0.38	 -0.02	
23.60	  0.37	 -0.00	
23.70	  0.36	 -0.00	
23.80	  0.38	  0.01	
23.90	  0.36	  0.01	
24.00	  0.35	 -0.01	
24.10	  0.32	 -0.00	
24.20	  0.35	  0.03	
24.30	  0.36	  0.01	
24.40	  0.36	  0.01	
24.50	  0.35	  0.00	
24.60	  0.34	  0.03	
24.70	  0.32	 -0.01	
24.80	  0.33	  0.01	
24.90	  0.31	 -0.01	
25.00	  0.31	  0.01	
25.10	  0.31	  0.03	
25.20	  0.31	  0.03	
25.30	  0.32	  0.03	
25.40	  0.30	  0.03	
25.50	  0.30	  0.02	
25.60	  0.30	  0.01	
25.70	  0.30	  0.02	
25.80	  0.31	  0.04	
25.90	  0.30	  0.04	
26.00	  0.30	  0.03	
26.10	  0.27	  0.01	
